Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Alcohol Percentage,Price,Awards,Palate,Finish,Nose
The Irishman The Harvest Gift Set with 2x Glasses,Walsh,Irish Whiskey,Walsh,Irish Whiskey,,,"(70cl, 40%)",42.95,0,"Custard cream biscuits dunked in tea, cinnamon sticks, peppercorn, and lemon cheesecake.","More biscuit notes, with a touch of anise.","Nectarine, honeydew melon, buttered brown bread."
Samaroli Without Borders (2020 Edition),Samaroli,Scotch Whisky,Samaroli,Scotch Whisky,,,"(70cl, 45%)",148.38,0,"Nose: Tart red fruit, oily smoke and citrus peels, with a coastal, mineral undertone.
Palate: Fresh malt and rhubarb jam, leading into earthy cut grass and buttered toast.
Finish: Coastal smoke and candied berries.","Nose: Tart red fruit, oily smoke and citrus peels, with a coastal, mineral undertone.
Palate: Fresh malt and rhubarb jam, leading into earthy cut grass and buttered toast.
Finish: Coastal smoke and candied berries.","Nose: Tart red fruit, oily smoke and citrus peels, with a coastal, mineral undertone.
Palate: Fresh malt and rhubarb jam, leading into earthy cut grass and buttered toast.
Finish: Coastal smoke and candied berries."
Kentucky Owl Confiscated,Kentucky Owl,American Whiskey,Kentucky Owl,American Whiskey,,,"(70cl, 48.2%)",144.89,0,"Nose: Hints of peach, mature oak, earthy vanilla and tobacco, with sweeter vanilla and warming aromas of cardamom and baking spice.
Palate: Spicy oak, slightly drying with peaches and cream, cinnamon butter and crackers, with a smidge of red berry.
Finish: Herbal notes appear, supported by oak tannins and lots of spice, with cinnamon and nutmeg rounding things off.","Nose: Hints of peach, mature oak, earthy vanilla and tobacco, with sweeter vanilla and warming aromas of cardamom and baking spice.
Palate: Spicy oak, slightly drying with peaches and cream, cinnamon butter and crackers, with a smidge of red berry.
Finish: Herbal notes appear, supported by oak tannins and lots of spice, with cinnamon and nutmeg rounding things off.","Nose: Hints of peach, mature oak, earthy vanilla and tobacco, with sweeter vanilla and warming aromas of cardamom and baking spice.
Palate: Spicy oak, slightly drying with peaches and cream, cinnamon butter and crackers, with a smidge of red berry.
Finish: Herbal notes appear, supported by oak tannins and lots of spice, with cinnamon and nutmeg rounding things off."
High West American Prairie Bourbon,High West,American Whiskey,High West,American Whiskey,4.5,(3 Reviews),"(70cl, 46%)",49.94,1,"Nose: Light caramel notes supported by mixed peels and cinnamon.
Palate: Sweet, toasty spices, vanilla, cherries and manuka honey.
Finish: Peanut brittle, chocolate orange and hints of dried red berries.
Overall: Quite a light Bourbon with subtle oak.","Nose: Light caramel notes supported by mixed peels and cinnamon.
Palate: Sweet, toasty spices, vanilla, cherries and manuka honey.
Finish: Peanut brittle, chocolate orange and hints of dried red berries.
Overall: Quite a light Bourbon with subtle oak.","Nose: Light caramel notes supported by mixed peels and cinnamon.
Palate: Sweet, toasty spices, vanilla, cherries and manuka honey.
Finish: Peanut brittle, chocolate orange and hints of dried red berries.
Overall: Quite a light Bourbon with subtle oak."
Dailuaine 8 Year Old 2012 (Single Cask Nation),Dailuaine,Speyside Whisky,Single Cask Nation,Scotch Whisky,,,"(70cl, 53.1%)",59.94,0,"Sweet honey, stem ginger, gently herbal wafts of vegetal malt with raisins, and a hint of marzipan.","More green garden herbs appear, alongside creamy vanilla and lasting baking spice.","Flaky croissants, zesty lemon, and floral vanilla with a touch of sawdust."
Hyde  6 Year Old No.3 The Áras Cask,Hyde,Irish Whiskey,Hyde,Irish Whiskey,4,(4 Reviews),"(70cl, 46%)",41.92,0,"Vanilla, warming spice, a little chilli and nougat.",Soft oak and caramel.,Crème caramel and toasty American oak wood spices.
Black Bull Peated Edition,Duncan Taylor,Scotch Whisky,Duncan Taylor,Scotch Whisky,0.5,(1 Review),"(70cl, 50%)",33,0,"Stewed apples, toffee and lemon peel lead among earthy peat, roasted salt nuts and a little cinnamon.",Some salty and smoky notes linger.,"Through sea salt and bonfire smoke comes brown sugar, orchard fruit and rich malt."
Glenmorangie 10 Year Old - 1990s (with Malt Workers Design Tin),Glenmorangie,Scotch Whisky,Glenmorangie,Scotch Whisky,,,"(70cl, 40%)",150,0,,,
Crabbie 8 Year Old,John Crabbie & Co.,Scotch Whisky,John Crabbie & Co.,Scotch Whisky,4,(6 Reviews),"(70cl, 46%)",31.87,3,"Buttered scones, waxy orange peel and a touch of cassia.",Lingering orange oil sweetness.,"Caramel, raisin and honey-coated peanuts."
Eden Mill Madeira Cask 2022 - Cask Mastery Series,Eden Mill,Scotch Whisky,Eden Mill,Scotch Whisky,,,"(70cl, 56.8%)",175,0,"Nose: Bakewell tart, candied citrus, and caramel sauce.
Palate: Soft apricots and peaches, with spiced figs, and sponge cake.
Finish: Warm oak, with zingy ginger.","Nose: Bakewell tart, candied citrus, and caramel sauce.
Palate: Soft apricots and peaches, with spiced figs, and sponge cake.
Finish: Warm oak, with zingy ginger.","Nose: Bakewell tart, candied citrus, and caramel sauce.
Palate: Soft apricots and peaches, with spiced figs, and sponge cake.
Finish: Warm oak, with zingy ginger."
Spice King (Wemyss Malts),Wemyss Malts,Scotch Whisky,Wemyss Malts,Scotch Whisky,4,(1 Review),"(70cl, 46%)",38.74,1,,,
Bowling Green Bourbon Whiskey,Destilerias Espronceda,American Whiskey,Destilerias Espronceda,American Whiskey,,,"(70cl, 40%)",24.95,0,,,
Singleton of Dufftown Sunray,Dufftown,Speyside Whisky,Dufftown,Scotch Whisky,4,(6 Reviews),"(70cl, 40%)",45.99,3,"Soft stewed apples. Thick honeyed texture and taste, with a hint of malt in the background.","Fairly short, warm and drying.","Vanilla and honey, apple and blackcurrant - two great pairs working well together. Grassy honey then dehydrated apple with cinnamon moving into strudel with some dark, syrupy blackcurrant."
Teaninich 12 Year Old 2009 (cask 6732216) - The Octave (Duncan Taylor),Teaninich,Highland Whisky,Duncan Taylor,Scotch Whisky,,,"(70cl, 55.4%)",89.95,0,"Marmalade, melted milk chocolate, and flamed herbs.",Brown sugar and black pepper.,"Chocolate raisins, orange Starburst, dried apple, and clove-studded orange."
Grace O'Malley Blended Irish Whiskey,Grace O'Malley,Irish Whiskey,Grace O'Malley,Irish Whiskey,,,"(70cl, 40%)",29.80,0,"Dried fruits and honey flapjack, resinous oak with cinnamon and pepper spice.","Caramelised nuts, wafts of vanilla, sweet, cakey spice, and a gently warming finish.","Oaky vanilla and sweet, nutty caramel meet rich malt, popcorn, and floral spiced orange."
Cask Speyside 12 Year Old Sherry Cask Finish (A.D. Rattray),A. D. Rattray,Scotch Whisky,A. D. Rattray,Scotch Whisky,,,"(70cl, 46%)",39.94,0,"Frangipane, spiced plum, and orange drizzle cake.",Bramble fruit and baking spices.,"Bakewell tart, berry jam, and apple crumble."
Broger 6 Year Old (That Boutique-y Whisky Company),Broger,Austrian Whisky,That Boutique-y Whisky Company,Austrian Whisky,1.5,(2 Reviews),"(50cl, 62.3%)",69.95,0,"Still has lots of wood smoke to it, with liquorice root developing, and a touch of orange oil.",Soot and peppery spices.,"Oily walnuts, roasted oak, BBQ sauce with a hint of honeyed sweetness, tarry ropes."
Craigellachie 7 Year Old 2014 (cask 621) - The Cooper's Choice (The Vintage Malt Whisky Co.),Craigellachie,Speyside Whisky,The Vintage Malt Whisky Co.,Scotch Whisky,,,"(70cl, 55%)",71.95,0,Juicy sultanas balance robust malt with burnt sugar following wisps of nutmeg and coffee.,"Floral jam, hints of festive spice, dried apricot, and warming oak char.","Candied fruits, diced nuts with wafts of bold roasted barley, and sweet cinnamon."
Annandale Man O’Sword Vintage 2015 - Bourbon Cask (cask 68),Annandale,Scotch Whisky,Annandale,Scotch Whisky,,,"(70cl, 58.9%)",120,0,"Nose: Citrus peel, toffee, dried grass, peaty barley, and a touch of polished oak furniture.

Palate: Smoked spices and rich honey mingle with a medley of tropical fruit and vanilla.

Finish: Creamy nutty goodness lingers.","Nose: Citrus peel, toffee, dried grass, peaty barley, and a touch of polished oak furniture.

Palate: Smoked spices and rich honey mingle with a medley of tropical fruit and vanilla.

Finish: Creamy nutty goodness lingers.","Nose: Citrus peel, toffee, dried grass, peaty barley, and a touch of polished oak furniture.

Palate: Smoked spices and rich honey mingle with a medley of tropical fruit and vanilla.

Finish: Creamy nutty goodness lingers."
GlenAllachie 12 Year Old 2008 (casks 1910865 & 1920865) - Benchmark (Murray McDavid),GlenAllachie,Speyside Whisky,Murray McDavid,Scotch Whisky,,,"(70cl, 50%)",84.90,0,"Pear and white grape combine with boozy sultanas, vanilla cream, roasted walnuts and malted oak.","Spiced malt and nuts continue, along with a splash of boozy coffee and apple tart.","Jammy berries, honeyed fruit and orange butter."
MacNaMara,Prában na Linne,Scotch Whisky,Prában na Linne,Scotch Whisky,3.5,(2 Reviews),"(70cl, 40%)",27.44,0,"Grassy notes develop, with touches of raisin and butter.","Continued grassy elements, with a final touch of peat.","Butterscotch, lightly peated malt, crushed almonds."
Boulder Straight Bourbon Whiskey,Vapour Distillery,American Whiskey,Vapour Distillery,American Whiskey,,,"(70cl, 42%)",44.94,0,"Gently sweet toffee popcorn, biscuity barley, and honeyed flapjack, with oaken vanilla and just a touch of woody spice.","Lingering notes of baked fruit, juicy barley, and buttery oak.","Warm, melted butter spread over crisp sweetcorn, stewed apple, dusted with nutmeg and cinnamon."
Whisky Row Smoke & Peat,Whisky Row,Scotch Whisky,Whisky Row,Scotch Whisky,,,"(70cl, 46%)",35.95,0,"Dry peat smoke and wet pebble, leading into lemon zest and tinned pineapple alongside ashy notes.",Dried apricot and a smidge of burnt rubber linger with smoky barley.,"Fresh, toasted malt, with a pinch of tobacco, smoky cured meat and a burst of tropical fruit sweetness."
John Walker & Sons King George V - Chinese New Year Edition 2022,Johnnie Walker,Scotch Whisky,Johnnie Walker,Scotch Whisky,,,"(70cl, 43%)",548.95,0,"Nose: A mix of heady toffee apple and very faint smoke. Thick, syrupy malt, digestive biscuits, oak.
Palate: Soft, buttery toffee and general fruitiness. Medium bodied, but very malty and well-constructed blend.
Finish: Golden syrup, creamy spices and malt on the finish.","Nose: A mix of heady toffee apple and very faint smoke. Thick, syrupy malt, digestive biscuits, oak.
Palate: Soft, buttery toffee and general fruitiness. Medium bodied, but very malty and well-constructed blend.
Finish: Golden syrup, creamy spices and malt on the finish.","Nose: A mix of heady toffee apple and very faint smoke. Thick, syrupy malt, digestive biscuits, oak.
Palate: Soft, buttery toffee and general fruitiness. Medium bodied, but very malty and well-constructed blend.
Finish: Golden syrup, creamy spices and malt on the finish."
Glenfarclas 1983 (cask 28) Family Cask Winter 2018 Release,Glenfarclas,Scotch Whisky,Glenfarclas,Scotch Whisky,,,"(70cl, 48.8%)",1589,0,,,
Chivas Regal XV Gold,Chivas Regal,Scotch Whisky,Chivas Regal,Scotch Whisky,4.5,(1 Review),"(70cl, 40%)",46.44,0,"Butterscotch, red apple and caraway. A touch of grain sweetness in the background.",Heavy vanilla and pear on the finish.,"Powerful orange and peach notes, backed up by juicy barley."
Two Stacks The First Cut,Two Stacks,Irish Whiskey,Two Stacks,Irish Whiskey,4.5,(1 Review),"(70cl, 43%)",34.95,0,"Seeded bread, a hint of toasty oak, butterscotch, and blackberry.","A long finish, with plenty of honeyed warmth.","Melted butter, peach, a hint of black tea, brown sugar."
Dailuaine 9 Year Old (That Boutique-y Whisky Company),Dailuaine,Speyside Whisky,That Boutique-y Whisky Company,Scotch Whisky,,,"(50cl, 44.7%)",49.95,0,"Soft waves of clotted cream and vanilla shortbread lead to sweet, zesty citrus and cooked orchard fruits. There's some of that pebbly minerality from the nose coming through too.","A crackle of peppery oak joins towards the finish, balanced by silky vanilla custard.","Delicate layers of vanilla pods, buttered crumpets, and a touch of plantain, with toasted malt and a subtle minerality riding elegantly throughout."
The Macallan 10 Year Old - 2000s,The Macallan,Scotch Whisky,The Macallan,Scotch Whisky,,,"(70cl, 40%)",799699,0,,,
Bellevoye Rouge,Bellevoye,French Whisky,Bellevoye,French Whisky,3.5,(3 Reviews),"(70cl, 43%)",56.95,0,Warming toasted oak balances by blueberry and chocolate brownie.,Citrus blossom and Demerara sugar.,"Floral malt, Amaretto sweetness of cherry and almond, earthy vanilla."
Dalmore Quintessence,Dalmore,Scotch Whisky,Dalmore,Scotch Whisky,4.5,(4 Reviews),"(70cl, 45%)",1099.94,2,,,
Glenkinchie Distillers Edition - 2022 Collection,Glenkinchie,Lowland Whisky,Glenkinchie,Scotch Whisky,,,"(70cl, 43%)",69.99,0,"Creamy malt, with some light fruitcake, green grapes, and drying, peppery spice.",Drying and spicy.,"Dried apricots and sultanas, with some toasted almond, and warming woody spice."
Speyburn 10 Year Old 2008 (Master of Malt),Speyburn,Scotch Whisky,Master of Malt,Scotch Whisky,,,"(70cl, 49.5%)",59.95,0,"Quite zesty with green apple and biscuity malt opening things up, supported by sprinklings of cacao.",Drying herbs linger beneath silky layers of barley and butterscotch.,Plenty going on with juicy pear and runny caramel leading the way. Toasted sourdough with plenty of butter and citrus blossom honey join later.
Destillerie Ralf Hauer 4 Year Old (That Boutique-y Whisky Company),Destillerie Ralf Hauer,German Whisky,That Boutique-y Whisky Company,German Whisky,,,"(50cl, 64.1%)",69.95,0,"Rich, oaken vanilla appears with creamy barley and peppery spice. Fruity berry notes follow with dried herbs and some vegetal undertones.",The pine and herbs continue with bold baking spice lingering.,"Green and fresh with herbal notes of pine and earthy forest floor, wintery oak spice, and soft salinity."
Peerless Double Oak Single Barrel Bourbon,Peerless,American Whiskey,Peerless,American Whiskey,,,"(75cl, 55.8%)",89.74,0,"Oaky spice followed by more chocolate and caramel, as well as rich leather and gingerbread.",Toasted oak and nutmeg.,"Caramel, dark chocolate, sweet tobacco, and heaps of seasoned oak."
Deanston 14 Year Old Organic,Deanston,Highland Whisky,Deanston,Scotch Whisky,4,(3 Reviews),"(70cl, 46.3%)",64.61,0,"Thyme honey, mango and mandarin. Some flaky pastry. Another kick of spicy cedar from the new oak casks.","Creamy at first, but develops a hint of peppercorn spiciness.","Cedar and vanilla, with a waft of freshly laundered linen."
Tormore 28 Year Old - Chorlton Whisky,Tormore,Scotch Whisky,Chorlton Whisky,Scotch Whisky,,,"(70cl, 42.4%)",183.18,0,"Nose: Loads of fresh fruit notes here – pears, damsons, pineapples!
Palate: A slow build of earthy, woody, subtly spice notes, alongside the powerful fruity elements.
Finish: Lasting orange oil and grassy barley.","Nose: Loads of fresh fruit notes here – pears, damsons, pineapples!
Palate: A slow build of earthy, woody, subtly spice notes, alongside the powerful fruity elements.
Finish: Lasting orange oil and grassy barley.","Nose: Loads of fresh fruit notes here – pears, damsons, pineapples!
Palate: A slow build of earthy, woody, subtly spice notes, alongside the powerful fruity elements.
Finish: Lasting orange oil and grassy barley."
Luckenbach Road Straight Bourbon Whiskey,Luckenbach Road,American Whiskey,Luckenbach Road,American Whiskey,,,"(70cl, 44%)",59.30,0,,,
Benrinnes 13 Year Old 2008 - Bodega Series (Goldfinch Whisky Merchants),Benrinnes,Speyside Whisky,Goldfinch,Scotch Whisky,,,"(70cl, 52%)",84.95,0,"Citrus oils open the way, balancing hints of warming, savoury spice while stewed stone fruits and syrupy baked goods keep things sweet.","Creamy barley, nutty oak, and raisins with layers of vanilla caramel, cracked pepper heat, and just a touch of vegetal oak.","Doughy cookies, studded with chocolate and dried fruit, dustings of cinnamon, and creamy vanilla."
Writers Tears Double Oak,Walsh,Irish Whiskey,Walsh,Irish Whiskey,4.5,(2 Reviews),"(70cl, 46%)",44.99,1,"Juicy white stone fruits, lychee and lemon peel with a hint of grape skin dryness.",Rich and aromatic spiced dark chocolate.,"Spiced and stewed orchard fruits, lots of sweet and earthy vanilla pod with a side of pear crumble."
Slyrs Single Malt - Port Cask Finish,Slyrs Destillerie,German Whisky,Slyrs Destillerie,German Whisky,,,"(70cl, 46%)",67.95,0,Caramel trickles between biscuity barley and summer fruit compote while warming spices and oak gather beneath.,"Plenty to explore with lingering notes of woody clove, ginger, tangy cranberry, and soft stone fruits.","Hearty malt opens the way with notes of dried red berries, cinnamon, vanilla, and roasted nuts."
Inchgower 10 Year Old 2012 - Hepburn's Choice,Inchgower,Speyside Whisky,Langside Distillers,Scotch Whisky,,,"(70cl, 46%)",48.95,0,"Creamy layers of vanilla and pastry, cooked pear, and dustings of sweet spice.","Gingerbread, marmalade, and nutty malt.","Citrus blossom, honeyed nuts, and fresh apple, with oaken vanilla in tow."
Macduff 11 Year Old (That Boutique-y Whisky Company),Macduff,Highland Whisky,That Boutique-y Whisky Company,Scotch Whisky,,,"(50cl, 48%)",41.95,0,"Plum sweetness, honey and oak spice initially, then nutty brown bread and white chocolate.","Salted butter, orange peel and a hint of dry white wine linger.","Pleasantly grassy, with whiffs of orchard fruit, floral barley, a little toffee and charcoal."
Glentauchers 12 Year Old 2009 (cask 85900534) - Duncan Taylor,Glentauchers,Scotch Whisky,Duncan Taylor,Scotch Whisky,,,"(70cl, 54.7%)",91.95,0,"Nutty notes of maple and pecan tart, with flaky pastry, boozy sultanas, and candied orange.","Caramel, barley, dates, and apricot jam, with a dash of peppery spice on the tail.","Juicy raisins, berries, and a touch of zesty pineapple, with sweet roasted malt."
Glen Grant 1998 (bottled 2021) (cask 13214) - Berry Bros. & Rudd,Glen Grant,Scotch Whisky,Berry Bros. & Rudd,Scotch Whisky,,,"(70cl, 56.1%)",224.90,0,"Nose: Coffee and walnut cake, molasses, clove, and orange oil.
Palate: Crunchy yellow apples, more orange brightness, richly malty with hints of chocolate and black pepper.
Finish: Mature oak lasting long on the finish.","Nose: Coffee and walnut cake, molasses, clove, and orange oil.
Palate: Crunchy yellow apples, more orange brightness, richly malty with hints of chocolate and black pepper.
Finish: Mature oak lasting long on the finish.","Nose: Coffee and walnut cake, molasses, clove, and orange oil.
Palate: Crunchy yellow apples, more orange brightness, richly malty with hints of chocolate and black pepper.
Finish: Mature oak lasting long on the finish."
Gulliver’s 47 Pedro Ximénez Sherry Casks,Samuel Gulliver & Co,English Whisky,Samuel Gulliver & Co,English Whisky,,,"(70cl, 47%)",78.95,0,"Dark fruit cake, dried figs, prunes, cocoa nibs, and some woody spices.","Sweet spice, and some liquorice.","Treacle-y spice, with raisings, and candied citrus peel."
Chivas Regal 25 Year Old,Chivas Regal,Scotch Whisky,Chivas Regal,Scotch Whisky,5,(9 Reviews),"(70cl, 40%)",308.99,2,"Nose: Rich, nutty and thick with notes of malt and berry fruits, hints of liquorice, raspberries and sweet porridge oats.
Palate: Soft and gentle but it builds with an elegant toffee-like character, very butter. Hints of boiled sweets, aniseed and custard.
Finish: Abrupt, but earthy, with butterscotch on the tail.","Nose: Rich, nutty and thick with notes of malt and berry fruits, hints of liquorice, raspberries and sweet porridge oats.
Palate: Soft and gentle but it builds with an elegant toffee-like character, very butter. Hints of boiled sweets, aniseed and custard.
Finish: Abrupt, but earthy, with butterscotch on the tail.","Nose: Rich, nutty and thick with notes of malt and berry fruits, hints of liquorice, raspberries and sweet porridge oats.
Palate: Soft and gentle but it builds with an elegant toffee-like character, very butter. Hints of boiled sweets, aniseed and custard.
Finish: Abrupt, but earthy, with butterscotch on the tail."
Linkwood 12 Year Old 2009 Syrah Edition - DS Tayman,Linkwood,Speyside Whisky,DS Tayman,Scotch Whisky,4,(2 Reviews),"(70cl, 46%)",49.95,0,"Those berries and red fruits carry through, joined by hearty oak and candied nuts.","Set honey and maple syrup bring sweetness, with peppery oak offering some warming spice.","Heaps of baked orchard fruits and red berries, warm malt, and baking spice."
Johnny Drum Black Label,Johnny Drum Distiling Co.,American Whiskey,Kentucky Bourbon Distillers Co,American Whiskey,,,"(70cl, 43%)",37.24,0,,,
Laphroaig 15 Year Old 2005 (Release No.11680) - The Stories of Wind & Wave (The Character of Islay Whisky Company),Laphroaig,Scotch Whisky,The Character of Islay Whisky Company,Scotch Whisky,,,"(70cl, 57.8%)",264.95,0,"Nose: Tarry ropes, coastal breeze, a smidge of Golden Graham sweetness lingering in the background.
Palate: Oily malt with more savoury peat, with some sugared almond and juicy apricot notes to balance the salinity.
Finish: Petrichor, peat, and drying oak.","Nose: Tarry ropes, coastal breeze, a smidge of Golden Graham sweetness lingering in the background.
Palate: Oily malt with more savoury peat, with some sugared almond and juicy apricot notes to balance the salinity.
Finish: Petrichor, peat, and drying oak.","Nose: Tarry ropes, coastal breeze, a smidge of Golden Graham sweetness lingering in the background.
Palate: Oily malt with more savoury peat, with some sugared almond and juicy apricot notes to balance the salinity.
Finish: Petrichor, peat, and drying oak."
Mannochmore 9 Year Old 2012 (cask 12494) - The Single Cask,Mannochmore,Speyside Whisky,The Single Cask,Scotch Whisky,,,"(70cl, 57.6%)",82.95,0,"Plump raisin, melted dark chocolate, and wafts of heather.",Warming oak spice and fig sweetness.,"Dusty cocoa, juicy grapes, floral honey, and peppery spice."
Ardbeg Auriverdes,Ardbeg,Scotch Whisky,Ardbeg,Scotch Whisky,4,(24 Reviews),"(70cl, 49.9%)",250,2,"Nose: Smoked bacon, Tarry ropes on a not-long-dry seashore. Loads of Vanilla. Pomegranates, Fizzy-sweets (refreshers, Sherbet Lemons) and Lemon-zest. Not convinced I’d have got Mocha, if not for the autosuggestion, but it’s definitely there now I think about it.
Palate: Initially sweet, restrained, more of that bacon, but this time it’s been cured with Muscovado sugar and maybe a touch of Juniper? Progresses through the inevitable onslaught of peat, but it’s there in a slightly different way – more ‘high’, medicinal phenols than we've come to expect with Ardbeg. From the palate alone, I’m not even sure I’d peg this as Ardbeg – I might be tempted to go two distilleries further down the coast…
Finish: Long. Cocoa, Charred corners of a pulled pork butt, becomes more ashy as it fades, but clearly from good honest casks albeit with charred heads.
Overall: It’s good. Funnily though, as the spirit’s not being bombarded with finishes/extreme cask-techniques the difference between this and the 10yo is strangely pronounced. There are palpable elements of Bowmore, and Laphroaig in this dram, whilst it does absolutely retain the overall Ardbeg character we know and love. To my mind that’s a good thing.","Nose: Smoked bacon, Tarry ropes on a not-long-dry seashore. Loads of Vanilla. Pomegranates, Fizzy-sweets (refreshers, Sherbet Lemons) and Lemon-zest. Not convinced I’d have got Mocha, if not for the autosuggestion, but it’s definitely there now I think about it.
Palate: Initially sweet, restrained, more of that bacon, but this time it’s been cured with Muscovado sugar and maybe a touch of Juniper? Progresses through the inevitable onslaught of peat, but it’s there in a slightly different way – more ‘high’, medicinal phenols than we've come to expect with Ardbeg. From the palate alone, I’m not even sure I’d peg this as Ardbeg – I might be tempted to go two distilleries further down the coast…
Finish: Long. Cocoa, Charred corners of a pulled pork butt, becomes more ashy as it fades, but clearly from good honest casks albeit with charred heads.
Overall: It’s good. Funnily though, as the spirit’s not being bombarded with finishes/extreme cask-techniques the difference between this and the 10yo is strangely pronounced. There are palpable elements of Bowmore, and Laphroaig in this dram, whilst it does absolutely retain the overall Ardbeg character we know and love. To my mind that’s a good thing.","Nose: Smoked bacon, Tarry ropes on a not-long-dry seashore. Loads of Vanilla. Pomegranates, Fizzy-sweets (refreshers, Sherbet Lemons) and Lemon-zest. Not convinced I’d have got Mocha, if not for the autosuggestion, but it’s definitely there now I think about it.
Palate: Initially sweet, restrained, more of that bacon, but this time it’s been cured with Muscovado sugar and maybe a touch of Juniper? Progresses through the inevitable onslaught of peat, but it’s there in a slightly different way – more ‘high’, medicinal phenols than we've come to expect with Ardbeg. From the palate alone, I’m not even sure I’d peg this as Ardbeg – I might be tempted to go two distilleries further down the coast…
Finish: Long. Cocoa, Charred corners of a pulled pork butt, becomes more ashy as it fades, but clearly from good honest casks albeit with charred heads.
Overall: It’s good. Funnily though, as the spirit’s not being bombarded with finishes/extreme cask-techniques the difference between this and the 10yo is strangely pronounced. There are palpable elements of Bowmore, and Laphroaig in this dram, whilst it does absolutely retain the overall Ardbeg character we know and love. To my mind that’s a good thing."
Hankey Bannister Blended Scotch Whisky,Inver House,Other Scotch Whisky,Hankey Bannister,Scotch Whisky,4,(33 Reviews),"(70cl, 40%)",19.24,5,,,
The English - Sherry Butts,The English Whisky Co,English Whisky,The English Whisky Co,English Whisky,,,"(70cl, 46%)",63.94,0,"Sticky toffee pudding and fruit studded dark chocolate, bittersweet marmalade followed by nutty caramel.","Burnt sugar lingers with gentle spice, followed by more dried fruits with dustings of cocoa.","Figs, dates, sultanas, dark honey, and sweet, cakey malt."
Inchmurrin 11 Year Old (cask 2996) - Dràm Mòr,Loch Lomond,Highland Whisky,Dràm Mòr,Scotch Whisky,,,"(70cl, 58%)",76.22,0,The strength brings prickles of chilli heat and peppercorns before drying kitchen spices and sticky toffee tangle.,"Powerful all the way, a drop of water opens things up, oaken heat and sweet spice remain.","Custard creams, rusk biscuits, banana chips, peach, apricot, white chocolate buttons."
Catoctin Creek Roundstone Rye Cask Proof,Catoctin Creek,American Whiskey,Catoctin Creek,American Whiskey,5,(1 Review),"(70cl, 58%)",83.94,0,"Peppery spice leads into buttercream icing, oily citrus and oak, with underlying herbals notes.",Dried fruit and spicy wood lingers alongside rich chocolate.,"Crème brûlée and Lotus biscuits, with spicy rye and touches of menthol alongside treacle and date sweetness."
Larceny Bourbon,John E. Fitzgerald,American Whiskey,John E. Fitzgerald,American Whiskey,4.5,(7 Reviews),"(70cl, 46%)",47.45,1,"Buttered corn, molasses, malt loaf, slowly build Christmas spices.","Peppery at first, though soon enough the fruity coffee notes return and give it a sweet profile.","Brioche dipped in fruity coffee, cedar, a kick of aromatic coriander."
Auchroisk 7 Year Old 2010 - Parkmore Selection,Auchroisk,Speyside Whisky,Parkmore Selection,Scotch Whisky,,,"(70cl, 46%)",43.95,0,Rounded red fruit juxtaposed by rich smoke. Slightly chocolatey at points.,Freshly cut herbs and a light touch of oak resin.,"Roasted barley and buttered apples, with a whiff of pipe tobacco underneath."
Mannochmore 12 Year Old - Flora and Fauna,Mannochmore,Speyside Whisky,Mannochmore,Scotch Whisky,3.5,(3 Reviews),"(70cl, 43%)",49.74,0,,,
Compass Box Ultramarine - The Extinct Blender Quartet,Compass Box,Scotch Whisky,Compass Box,Scotch Whisky,,,"(70cl, 51%)",294.74,0,"Nose: Gentle wafts of earthy peat, layered with sweet, sherried smoke, drizzles of caramel, and warm oaky vanilla.
Palate: Barbeque smoke, with grilled peaches, wattleseed, and spiced fruitcake.
Finish: Spices build, with meaty smoke lingering.","Nose: Gentle wafts of earthy peat, layered with sweet, sherried smoke, drizzles of caramel, and warm oaky vanilla.
Palate: Barbeque smoke, with grilled peaches, wattleseed, and spiced fruitcake.
Finish: Spices build, with meaty smoke lingering.","Nose: Gentle wafts of earthy peat, layered with sweet, sherried smoke, drizzles of caramel, and warm oaky vanilla.
Palate: Barbeque smoke, with grilled peaches, wattleseed, and spiced fruitcake.
Finish: Spices build, with meaty smoke lingering."
Kilnaughton Secret Islay (cask 1154) (bottles 2023) - The Cooper's Choice (The Vintage Malt Whisky Co.),The Vintage Malt Whisky Co.,Scotch Whisky,The Vintage Malt Whisky Co.,Scotch Whisky,,,"(70cl, 48.5%)",78.95,0,"Oily and coastal, with tarry oak and smoldering embers supported by helpings of honeyed stone fruits and spiced mocha.","Peat smoke lingers, with a touch of treacle and musty oak.","Sultanas, coffee grounds, and cocoa are joined by maritime smoke and ash."
Glen Moray 2013 Amontillado Finish - Warehouse 1,Glen Moray,Speyside Whisky,Glen Moray,Scotch Whisky,,,"(70cl, 57.5%)",73.94,0,"Woody, nutty dryness, with orange curd, and fresh tobacco.",A distinct leafy green note lingers alongside toasted nuts.,"Praline, oily malt, and cooked apple."
